,level_0,index,close,high,low,open,s,t,v
236,13,2018-07-07 11:00:00,6585.0,6595.5,6564.0,6565.5,ok,1530928800.0,45266072.0
237,12,2018-07-07 10:00:00,6565.5,6593.5,6558.5,6593.0,ok,1530925200.0,51935460.0
238,11,2018-07-07 09:00:00,6593.0,6607.0,6578.0,6599.5,ok,1530921600.0,42695554.0
239,10,2018-07-07 08:00:00,6599.5,6609.0,6572.5,6572.5,ok,1530918000.0,55524594.0
240,9,2018-07-07 07:00:00,6572.5,6620.0,6566.5,6585.0,ok,1530914400.0,60269547.0
241,8,2018-07-07 06:00:00,6585.0,6585.0,6555.0,6569.0,ok,1530910800.0,23644603.0
242,7,2018-07-07 05:00:00,6569.0,6594.0,6562.5,6566.5,ok,1530907200.0,43147530.0
243,6,2018-07-07 04:00:00,6566.5,6576.5,6560.5,6561.5,ok,1530903600.0,28831061.0
244,5,2018-07-07 03:00:00,6561.5,6609.5,6475.0,6596.0,ok,1530900000.0,164439442.0
245,4,2018-07-07 02:00:00,6596.0,6630.5,6544.0,6556.5,ok,1530896400.0,183928005.0
246,3,2018-07-07 01:00:00,6556.5,6573.5,6550.0,6562.0,ok,1530892800.0,40528602.0
247,2,2018-07-07 00:00:00,6562.0,6564.5,6541.0,6549.5,ok,1530889200.0,47645799.0
248,1,2018-07-06 23:00:00,6549.5,6567.0,6546.0,6561.0,ok,1530885600.0,52516485.0
249,0,2018-07-06 22:00:00,6561.0,6578.5,6543.0,6578.5,ok,1530882000.0,71887916.0
250,49,2018-07-06 21:00:00,6578.5,6650.0,6525.0,6525.0,ok,1530878400.0,206029747.0
251,48,2018-07-06 20:00:00,6525.0,6543.5,6512.0,6525.5,ok,1530874800.0,51544610.0
252,47,2018-07-06 19:00:00,6525.5,6544.0,6491.5,6495.5,ok,1530871200.0,87807326.0
253,46,2018-07-06 18:00:00,6495.5,6514.0,6493.0,6507.0,ok,1530867600.0,40729050.0
254,45,2018-07-06 17:00:00,6507.0,6532.5,6470.0,6477.5,ok,1530864000.0,115228485.0
255,44,2018-07-06 16:00:00,6477.5,6490.0,6453.0,6469.0,ok,1530860400.0,125746267.0
256,43,2018-07-06 15:00:00,6469.0,6509.5,6460.0,6497.5,ok,1530856800.0,88183409.0
257,42,2018-07-06 14:00:00,6497.5,6525.5,6497.0,6519.0,ok,1530853200.0,35806705.0
258,41,2018-07-06 13:00:00,6519.0,6524.0,6482.0,6522.5,ok,1530849600.0,117475446.0
259,40,2018-07-06 12:00:00,6522.5,6539.0,6522.5,6535.0,ok,1530846000.0,20780666.0
260,39,2018-07-06 11:00:00,6535.0,6538.0,6513.5,6513.5,ok,1530842400.0,27814293.0
